Categoria,2023,2022,2021,2020,2019
ANÁLISE DIMENSIONAL,1,0,1,0,0
ANÁLISE GRÁFICA,0,0,1,0,0
ANÁLISE GRÁFICA,4,4,2,3,5
ARITMÉTICA,0,4,3,0,1
ARTIMÉTICA,0,0,0,0,1
BASE DE ENUMERAÇÃO,0,0,2,0,0
CIRCUNFERÊNCIA,0,1,0,0,0
CIRCUNFERÊNCIA - ANALÍTICA,0,0,0,0,1
COMBINATÓRIA,1,3,2,3,2
CONJUNTOS,0,0,0,2,0
ESCALA,0,1,1,2,0
ESCALA,1,1,0,0,1
ESTATÍSTICA,0,1,7,0,0
ESTATÍSTICA,0,1,0,0,3
ESTATÍSTICA,3,1,0,4,0
EXPONENCIAL,0,0,0,1,0
EXPRESSÃO NÚMERICA,0,1,0,0,0
EXPRESSÕES NUMÉRICAS,0,0,0,0,1
EXPRESSÕES NUMÉRICAS,1,0,0,0,0
FUNÇÃO,1,0,0,0,0
FUNÇÃO -TRIGONOMÉTRICA,0,0,0,0,1
FUNÇÃO 1º GRAU,0,1,0,0,0
FUNÇÃO 2º GRAU,0,1,0,0,0
FUNÇÃO DO 1º GRAU,2,2,4,0,1
FUNÇÃO DO 2º GRAU,1,1,0,0,0
GEOMETRIA ANALÍTICA,0,1,0,0,0
GEOMETRIA ESPACIAL,1,0,0,0,0
GEOMETRIA ESPACIAL,2,8,4,8,5
GEOMETRIA PLANA,7,2,5,5,4
GRÁFICO,0,0,1,0,0
LOGARITMO,1,0,0,1,2
LÓGICA,2,0,0,0,0
MATEMÁTICA FINANCEIRA,0,0,0,0,1
MATEMÁTICA FINANCEIRA,1,0,0,0,0
MATRIZ,0,0,1,0,1
NOTAÇÃO CIENTÍFICA,0,0,0,0,1
NOTAÇÃO CIENTÍFICA,0,0,0,1,0
OPERAÇÃO NUMÉRICA,0,0,0,1,0
OPERAÇÕES NUMÉRICAS,0,0,1,0,0
P.A,0,0,0,0,1
P.G,0,0,0,1,0
PORCENTAGEM,3,4,3,1,3
PROBABILIDADE,0,0,0,3,2
PROBABILIDADE,4,2,1,0,0
RAZÃO,2,2,0,0,0
RAZÃO E PROPORÇÃO,0,0,3,0,0
RAZÃO E PROPORÇÃO,1,2,0,8,8
REGRA DE TRÊS,0,1,0,0,0
REGRA DE TRÊS,3,0,1,0,0
SEQUÊNCIAS,1,0,0,0,0
SISTEMA LINEARES,1,0,2,1,0
TRIGONOMETRIA,1,0,0,0,0
